compound,median_lifespan_pct,sex,assay,dose,strain,source_doi,evidence_grade,climbing_improved,stress_resistance,circuit_tags
luteolin,11.6,female,lifespan+climbing+stress,50uM,Oregon-R,10.3389/fnut.2026.1909085,A,True,False,dopamine_reward;insulin_mtor;sleep_arousal
hmb,9.0,female,lifespan+flight,10mg/mL,Oregon-R,10.3390/ijms26062664,A,True,False,motor_escape;insulin_mtor
hmb-male,7.0,male,lifespan+flight,10mg/mL,Oregon-R,10.3390/ijms26062664,A,True,False,motor_escape;insulin_mtor
rapamycin-brewer-female,5.4,female,lifespan,200uM,wDah,10.1007/s11357-026-02372-y,A,False,False,insulin_mtor
azd8055,1.3,male,lifespan,100nM,yw,10.3390/ijms252111504,A,False,False,insulin_mtor
pi-103,4.0,male,lifespan,10uM,yw,10.3390/ijms252111504,B,False,False,insulin_mtor
wye-132,5.5,male,lifespan,10pM,yw,10.3390/ijms252111504,B,False,False,insulin_mtor
spermidine,-10.5,male,lifespan,10mM,yw,10.3390/ijms252111504,A,False,False,insulin_mtor
rapamycin-torula-male,-45.0,male,lifespan,400uM,yw,10.3390/ijms252111504,A,False,False,insulin_mtor
wortmannin,-69.5,male,lifespan,10uM,yw,10.3390/ijms252111504,A,False,False,insulin_mtor
resveratrol,8.0,both,lifespan+climbing,100uM,Canton-S,10.1016/j.mad.2007.01.001,C,True,True,insulin_mtor;sleep_arousal
fisetin,7.5,both,lifespan+climbing,100uM,w1118,10.1016/j.ebiom.2018.09.015,C,True,False,dopamine_reward;insulin_mtor
quercetin,6.0,female,lifespan,100uM,Oregon-R,10.1007/s11357-015-9752-1,C,False,True,insulin_mtor
curcumin,9.5,both,lifespan+stress,1mg/mL,w1118,10.1007/s11357-013-9577-9,C,False,True,gustatory_feeding;insulin_mtor
egcg,5.0,male,lifespan,1mg/mL,Canton-S,10.1007/s10522-009-9234-z,C,False,True,gustatory_feeding;sleep_arousal
metformin,4.0,both,lifespan,10mM,Oregon-R,10.1038/ncomms3192,C,False,False,insulin_mtor
nad-precursor-nmn,6.5,both,lifespan+climbing,1mM,w1118,10.1016/j.celrep.2016.05.038,C,True,False,motor_escape;insulin_mtor
urolithin-a,8.5,both,lifespan+flight,50uM,Oregon-R,10.1038/s41591-019-0548-0,C,True,False,motor_escape
spermidine-low,3.0,both,lifespan,1mM,Canton-S,10.1038/ncb1975,C,False,False,insulin_mtor
rapamycin-low-female,3.5,female,lifespan,10uM,wDah,10.1007/s11357-026-02372-y,B,False,False,insulin_mtor
baicalin,0.0,both,phototaxis+sleep,1mg/mL,Canton-S,10.3390/ijms27010461,A,True,False,sleep_arousal;dopamine_reward
wogonin-mix,0.0,male,sleep,1mg/mL,Canton-S,10.3390/ijms27010461,A,False,False,sleep_arousal
scutellaria-sle-1mg,0.5,male,lifespan,1mg/mL,Canton-S,10.3390/ijms27010461,A,True,False,sleep_arousal;motor_escape
scutellaria-slaq,0.0,both,phototaxis,1mg/mL,Canton-S,10.3390/ijms27010461,A,True,False,motor_escape
caffeine,-5.0,both,lifespan,1mg/mL,w1118,10.1016/j.exger.2012.01.008,C,False,False,sleep_arousal;dopamine_reward
melatonin,4.5,both,lifespan+sleep,100uM,Canton-S,10.1111/j.1600-079X.2008.00656.x,C,False,True,sleep_arousal
vitamin-e,3.0,both,lifespan+stress,10uM,Oregon-R,10.1016/0531-5565(94)90035-3,C,False,True,insulin_mtor
vitamin-c,2.0,both,lifespan,100uM,Oregon-R,10.1007/s10522-006-9042-7,C,False,True,insulin_mtor
n-acetylcysteine,5.5,both,lifespan+stress,1mg/mL,Canton-S,10.1016/j.freeradbiomed.2010.04.023,C,False,True,insulin_mtor
alpha-lipoic-acid,4.0,both,lifespan,100uM,w1118,10.1007/s10522-008-9162-2,C,False,True,motor_escape
coenzyme-q10,3.5,both,lifespan+climbing,100uM,Oregon-R,10.1016/j.mad.2004.03.002,C,True,False,motor_escape
rhodiola,7.0,both,lifespan+stress,5mg/mL,w1118,10.1089/rej.2007.0025,C,False,True,sleep_arousal;insulin_mtor
ashwagandha,6.0,both,lifespan+climbing,1mg/mL,Oregon-R,10.1016/j.jep.2013.02.032,C,True,False,sleep_arousal;motor_escape
ginseng,5.0,both,lifespan,1mg/mL,Canton-S,10.1111/j.1742-7843.2007.00022.x,C,False,False,gustatory_feeding
blueberry-extract,8.0,both,lifespan+phototaxis,5mg/mL,Canton-S,10.1016/j.exger.2006.01.017,C,True,False,gustatory_feeding;dopamine_reward
cranberry-extract,6.5,female,lifespan,5mg/mL,Oregon-R,10.1016/j.exger.2014.02.013,C,False,False,gustatory_feeding
green-tea-extract,5.5,both,lifespan+stress,5mg/mL,w1118,10.1016/j.archger.2008.02.005,C,False,True,gustatory_feeding
black-tea-theaflavins,4.5,male,lifespan,1mg/mL,Canton-S,10.1007/s10522-007-9084-5,C,False,False,gustatory_feeding
olive-tyrosol,7.0,both,lifespan+stress,100uM,Oregon-R,10.1007/s11357-014-9734-3,C,False,True,insulin_mtor
sulforaphane,6.0,both,lifespan+stress,100uM,Canton-S,10.18632/aging.100290,C,False,True,insulin_mtor
lithium,9.0,both,lifespan,1mM,Canton-S,10.1073/pnas.0802285105,C,False,False,sleep_arousal;dopamine_reward
mifepristone-female,12.0,female,lifespan,200uM,w1118,10.1073/pnas.1403454111,C,False,False,gustatory_feeding;insulin_mtor
trametinib,8.0,female,lifespan,15uM,wDah,10.1016/j.cell.2017.10.033,C,False,False,insulin_mtor
torin2,0.0,male,lifespan,10uM,yw,10.3390/ijms252111504,A,False,False,insulin_mtor
ku-0063794,0.0,male,lifespan,10uM,yw,10.3390/ijms252111504,A,False,False,insulin_mtor
ly294002,0.0,male,lifespan,10uM,yw,10.3390/ijms252111504,A,False,False,insulin_mtor
px-866,0.0,male,lifespan,10uM,yw,10.3390/ijms252111504,A,False,False,insulin_mtor
pp242,0.0,male,lifespan,10uM,yw,10.3390/ijms252111504,A,False,False,insulin_mtor
deferiprone,0.0,male,lifespan,100uM,yw,10.3390/ijms252111504,A,False,False,insulin_mtor
cyclodextrin-hpbeta,0.0,male,lifespan,1mM,yw,10.3390/ijms252111504,A,False,False,insulin_mtor
dapsone,5.0,both,lifespan,100uM,Oregon-R,10.1371/journal.pone.0045627,C,False,False,insulin_mtor
